size: 128, time: 0.125788 s, speed: 0.033344 GFlops
size: 692, time: 0.010414 s, speed: 63.639323 GFlops
size: 696, time: 0.009399 s, speed: 71.742906 GFlops
size: 700, time: 0.008689 s, speed: 78.951063 GFlops
size: 704, time: 0.011336 s, speed: 61.558036 GFlops
size: 708, time: 0.011020 s, speed: 64.409561 GFlops
size: 712, time: 0.009128 s, speed: 79.086295 GFlops
size: 716, time: 0.009316 s, speed: 78.800683 GFlops
size: 720, time: 0.010107 s, speed: 73.860752 GFlops
size: 724, time: 0.012896 s, speed: 58.855712 GFlops
size: 728, time: 0.008998 s, speed: 85.759481 GFlops
size: 732, time: 0.008966 s, speed: 87.491528 GFlops
size: 736, time: 0.010765 s, speed: 74.072324 GFlops
size: 740, time: 0.010548 s, speed: 76.833445 GFlops
size: 744, time: 0.011811 s, speed: 69.736713 GFlops
size: 748, time: 0.012956 s, speed: 64.603951 GFlops
size: 752, time: 0.011382 s, speed: 74.724154 GFlops
size: 756, time: 0.013118 s, speed: 65.875937 GFlops
size: 760, time: 0.011215 s, speed: 78.283926 GFlops
size: 764, time: 0.010135 s, speed: 88.001300 GFlops
size: 768, time: 0.014493 s, speed: 62.510893 GFlops
size: 772, time: 0.014132 s, speed: 65.114478 GFlops
size: 776, time: 0.014195 s, speed: 65.838636 GFlops
size: 780, time: 0.014358 s, speed: 66.102599 GFlops
size: 784, time: 0.014383 s, speed: 67.009065 GFlops
size: 788, time: 0.014171 s, speed: 69.057630 GFlops
size: 792, time: 0.011820 s, speed: 84.060886 GFlops
size: 796, time: 0.013467 s, speed: 74.902441 GFlops
size: 800, time: 0.013724 s, speed: 74.613333 GFlops
size: 804, time: 0.014646 s, speed: 70.970445 GFlops
size: 808, time: 0.014628 s, speed: 72.124215 GFlops
size: 812, time: 0.014881 s, speed: 71.956331 GFlops
size: 816, time: 0.014008 s, speed: 77.576526 GFlops
size: 820, time: 0.013560 s, speed: 81.322374 GFlops
size: 824, time: 0.012304 s, speed: 90.941669 GFlops
size: 828, time: 0.016050 s, speed: 70.736449 GFlops
size: 832, time: 0.014084 s, speed: 81.785856 GFlops
size: 836, time: 0.015261 s, speed: 76.571594 GFlops
size: 840, time: 0.013891 s, speed: 85.336517 GFlops
size: 844, time: 0.013965 s, speed: 86.101825 GFlops
size: 848, time: 0.013390 s, speed: 91.082489 GFlops
size: 852, time: 0.016792 s, speed: 73.662225 GFlops
size: 856, time: 0.016069 s, speed: 78.066406 GFlops
size: 860, time: 0.014265 s, speed: 89.176769 GFlops
size: 864, time: 0.014507 s, speed: 88.918465 GFlops
size: 868, time: 0.015807 s, speed: 82.745064 GFlops
size: 872, time: 0.015877 s, speed: 83.523902 GFlops
size: 876, time: 0.016006 s, speed: 83.996211 GFlops
size: 880, time: 0.014353 s, speed: 94.958580 GFlops
size: 884, time: 0.016525 s, speed: 83.608570 GFlops
size: 888, time: 0.014872 s, speed: 94.166700 GFlops
size: 892, time: 0.016512 s, speed: 85.964826 GFlops
size: 896, time: 0.015144 s, speed: 94.997085 GFlops
size: 900, time: 0.018408 s, speed: 79.205461 GFlops
size: 904, time: 0.014487 s, speed: 101.989622 GFlops
size: 908, time: 0.016183 s, speed: 92.517696 GFlops
size: 912, time: 0.017115 s, speed: 88.642238 GFlops
size: 916, time: 0.017448 s, speed: 88.099217 GFlops
size: 920, time: 0.014911 s, speed: 104.443548 GFlops
size: 924, time: 0.015942 s, speed: 98.969293 GFlops
size: 928, time: 0.018187 s, speed: 87.884393 GFlops
size: 932, time: 0.018071 s, speed: 89.597745 GFlops
size: 936, time: 0.019530 s, speed: 83.975773 GFlops
size: 940, time: 0.016634 s, speed: 99.865892 GFlops
size: 944, time: 0.017873 s, speed: 94.134179 GFlops
size: 948, time: 0.019116 s, speed: 89.137345 GFlops
size: 952, time: 0.020162 s, speed: 85.587451 GFlops
size: 956, time: 0.020560 s, speed: 84.992384 GFlops
size: 960, time: 0.016955 s, speed: 104.363466 GFlops
size: 964, time: 0.019306 s, speed: 92.804716 GFlops
size: 968, time: 0.020163 s, speed: 89.970398 GFlops
size: 972, time: 0.020793 s, speed: 88.330858 GFlops
size: 976, time: 0.020236 s, speed: 91.887080 GFlops
size: 980, time: 0.021580 s, speed: 87.228252 GFlops
size: 984, time: 0.019609 s, speed: 97.176311 GFlops
size: 988, time: 0.019750 s, speed: 97.663240 GFlops
size: 992, time: 0.021843 s, speed: 89.382725 GFlops
size: 996, time: 0.022090 s, speed: 89.456750 GFlops
size: 1000, time: 0.022131 s, speed: 90.371111 GFlops
size: 1004, time: 0.021880 s, speed: 92.509338 GFlops
size: 1008, time: 0.020231 s, speed: 101.249773 GFlops
size: 1012, time: 0.020387 s, speed: 101.676271 GFlops
size: 1016, time: 0.020530 s, speed: 102.169785 GFlops
size: 1020, time: 0.021833 s, speed: 97.211631 GFlops
size: 1024, time: 0.022973 s, speed: 93.478343 GFlops
size: 1028, time: 0.021212 s, speed: 102.429642 GFlops
size: 1032, time: 0.022721 s, speed: 96.747700 GFlops
size: 1036, time: 0.021711 s, speed: 102.431134 GFlops
size: 1040, time: 0.020638 s, speed: 109.009070 GFlops
size: 1044, time: 0.021674 s, speed: 105.001154 GFlops
size: 1048, time: 0.024432 s, speed: 94.221840 GFlops
size: 1052, time: 0.035110 s, speed: 66.320291 GFlops
size: 1056, time: 0.023893 s, speed: 98.571929 GFlops
size: 1060, time: 0.022944 s, speed: 103.818427 GFlops
size: 1064, time: 0.024144 s, speed: 99.780767 GFlops
size: 1068, time: 0.022498 s, speed: 108.292235 GFlops
size: 1072, time: 0.025900 s, speed: 95.129778 GFlops
size: 1076, time: 0.022286 s, speed: 111.798477 GFlops
size: 1080, time: 0.023746 s, speed: 106.098819 GFlops
size: 1084, time: 0.024157 s, speed: 105.457696 GFlops
size: 1088, time: 0.022912 s, speed: 112.422490 GFlops
size: 1092, time: 0.026051 s, speed: 99.970709 GFlops
size: 1096, time: 0.026832 s, speed: 98.132032 GFlops
size: 1100, time: 0.026763 s, speed: 99.465820 GFlops
size: 1104, time: 0.026550 s, speed: 101.361213 GFlops
size: 1108, time: 0.025105 s, speed: 108.365006 GFlops
size: 1112, time: 0.024743 s, speed: 111.145170 GFlops
size: 1116, time: 0.025019 s, speed: 111.110177 GFlops
size: 1120, time: 0.024772 s, speed: 113.429036 GFlops
size: 1124, time: 0.024478 s, speed: 116.025576 GFlops
size: 1128, time: 0.027567 s, speed: 104.127503 GFlops
size: 1132, time: 0.025668 s, speed: 113.026125 GFlops
size: 1136, time: 0.025455 s, speed: 115.183938 GFlops
size: 1140, time: 0.026975 s, speed: 109.845078 GFlops
size: 1144, time: 0.025396 s, speed: 117.907354 GFlops
size: 1148, time: 0.026578 s, speed: 113.849281 GFlops
size: 1152, time: 0.026585 s, speed: 115.014606 GFlops
size: 1156, time: 0.030669 s, speed: 100.740535 GFlops
size: 1160, time: 0.029452 s, speed: 105.996476 GFlops
size: 1164, time: 0.026650 s, speed: 118.355548 GFlops
size: 1168, time: 0.030166 s, speed: 105.642495 GFlops
size: 1172, time: 0.028039 s, speed: 114.828751 GFlops
size: 1176, time: 0.027421 s, speed: 118.622947 GFlops
size: 1180, time: 0.028243 s, speed: 116.349412 GFlops
size: 1184, time: 0.030998 s, speed: 107.090648 GFlops
size: 1188, time: 0.030012 s, speed: 111.734152 GFlops
size: 1192, time: 0.027733 s, speed: 122.141788 GFlops
size: 1196, time: 0.029594 s, speed: 115.616729 GFlops
size: 1200, time: 0.029784 s, speed: 116.035595 GFlops
size: 1204, time: 0.030208 s, speed: 115.554241 GFlops
size: 1208, time: 0.032103 s, speed: 109.821550 GFlops
size: 1212, time: 0.030395 s, speed: 117.148104 GFlops
size: 1216, time: 0.033656 s, speed: 106.848067 GFlops
size: 1220, time: 0.030074 s, speed: 120.758182 GFlops
size: 1224, time: 0.030881 s, speed: 118.763751 GFlops
size: 1228, time: 0.030241 s, speed: 122.469732 GFlops
size: 1232, time: 0.031780 s, speed: 117.681492 GFlops
size: 1236, time: 0.032277 s, speed: 117.002195 GFlops
size: 1240, time: 0.033488 s, speed: 113.868968 GFlops
size: 1244, time: 0.032643 s, speed: 117.951422 GFlops
size: 1248, time: 0.031831 s, speed: 122.130213 GFlops
size: 1252, time: 0.032579 s, speed: 120.477505 GFlops
size: 1256, time: 0.033841 s, speed: 117.099224 GFlops
size: 1260, time: 0.036378 s, speed: 109.977521 GFlops
size: 1264, time: 0.035285 s, speed: 114.467222 GFlops
size: 1268, time: 0.035366 s, speed: 115.292511 GFlops
size: 1272, time: 0.034919 s, speed: 117.877045 GFlops
size: 1276, time: 0.032810 s, speed: 126.641530 GFlops
size: 1280, time: 0.035278 s, speed: 118.892632 GFlops
size: 1284, time: 0.037079 s, speed: 114.181549 GFlops
size: 1288, time: 0.037333 s, speed: 114.468122 GFlops
size: 1292, time: 0.037197 s, speed: 115.960025 GFlops
size: 1296, time: 0.035596 s, speed: 122.305249 GFlops
size: 1300, time: 0.050205 s, speed: 87.521177 GFlops
size: 1304, time: 0.039107 s, speed: 113.398506 GFlops
size: 1308, time: 0.036388 s, speed: 122.996611 GFlops
size: 1312, time: 0.035686 s, speed: 126.570773 GFlops
size: 1316, time: 0.036446 s, speed: 125.068133 GFlops
size: 1320, time: 0.036837 s, speed: 124.872367 GFlops
size: 1324, time: 0.038619 s, speed: 120.197419 GFlops
size: 1328, time: 0.040796 s, speed: 114.817000 GFlops
size: 1332, time: 0.039093 s, speed: 120.904781 GFlops
size: 1336, time: 0.036339 s, speed: 131.242914 GFlops
size: 1340, time: 0.038928 s, speed: 123.618066 GFlops
size: 1344, time: 0.041282 s, speed: 117.616356 GFlops
size: 1348, time: 0.042712 s, speed: 114.696466 GFlops
size: 1352, time: 0.042464 s, speed: 116.396249 GFlops
size: 1356, time: 0.039240 s, speed: 127.081214 GFlops
size: 1360, time: 0.038672 s, speed: 130.091949 GFlops
size: 1364, time: 0.039429 s, speed: 128.723518 GFlops
size: 1368, time: 0.042220 s, speed: 121.274326 GFlops
size: 1372, time: 0.040772 s, speed: 126.686614 GFlops
size: 1376, time: 0.040251 s, speed: 129.451904 GFlops
size: 1380, time: 0.038094 s, speed: 137.978106 GFlops
size: 1384, time: 0.041335 s, speed: 128.269002 GFlops
size: 1388, time: 0.041959 s, speed: 127.459666 GFlops
size: 1392, time: 0.040505 s, speed: 133.180239 GFlops
size: 1396, time: 0.047684 s, speed: 114.107447 GFlops
size: 1400, time: 0.042215 s, speed: 130.000849 GFlops
size: 1404, time: 0.042325 s, speed: 130.777837 GFlops
size: 1408, time: 0.046563 s, speed: 119.894109 GFlops
size: 1412, time: 0.145307 s, speed: 38.747828 GFlops
size: 1416, time: 0.043416 s, speed: 130.788547 GFlops
size: 1420, time: 0.042395 s, speed: 135.077077 GFlops
size: 1424, time: 0.041202 s, speed: 140.166251 GFlops
size: 1428, time: 0.044475 s, speed: 130.947706 GFlops
size: 1432, time: 0.043175 s, speed: 136.027552 GFlops
size: 1436, time: 0.043870 s, speed: 134.997571 GFlops
size: 1440, time: 0.145789 s, speed: 40.963049 GFlops
size: 1444, time: 0.045773 s, speed: 131.559411 GFlops
size: 1448, time: 0.046401 s, speed: 130.861034 GFlops
size: 1452, time: 0.046037 s, speed: 132.991296 GFlops
size: 1456, time: 0.045473 s, speed: 135.756880 GFlops
size: 1460, time: 0.048337 s, speed: 128.767684 GFlops
size: 1464, time: 0.045717 s, speed: 137.269956 GFlops
size: 1468, time: 0.045463 s, speed: 139.171164 GFlops
size: 1472, time: 0.045962 s, speed: 138.788540 GFlops
size: 1476, time: 0.067056 s, speed: 95.907332 GFlops
size: 1480, time: 0.049752 s, speed: 130.318065 GFlops
size: 1484, time: 0.048950 s, speed: 133.530165 GFlops
size: 1488, time: 0.047175 s, speed: 139.677137 GFlops
size: 1492, time: 0.048815 s, speed: 136.076479 GFlops
size: 1496, time: 0.047208 s, speed: 141.843201 GFlops
size: 1500, time: 0.050117 s, speed: 134.684795 GFlops
size: 1504, time: 0.047470 s, speed: 143.335387 GFlops
size: 1508, time: 0.053104 s, speed: 129.153865 GFlops
size: 1512, time: 0.049780 s, speed: 138.877350 GFlops
size: 1516, time: 0.052790 s, speed: 132.000794 GFlops
size: 1520, time: 0.051759 s, speed: 135.698437 GFlops
size: 1524, time: 0.052122 s, speed: 135.819728 GFlops
size: 1528, time: 0.051744 s, speed: 137.892356 GFlops
size: 1532, time: 0.051655 s, speed: 139.218027 GFlops
size: 1536, time: 0.053444 s, speed: 135.614282 GFlops
size: 1540, time: 0.055101 s, speed: 132.566358 GFlops
size: 1544, time: 0.052359 s, speed: 140.598813 GFlops
size: 1548, time: 0.053644 s, speed: 138.300000 GFlops
size: 1552, time: 0.050606 s, speed: 147.741679 GFlops
size: 1556, time: 0.052783 s, speed: 142.746215 GFlops
size: 1560, time: 0.053868 s, speed: 140.952406 GFlops
size: 1564, time: 0.055396 s, speed: 138.121475 GFlops
size: 1568, time: 0.054252 s, speed: 142.119328 GFlops
size: 1572, time: 0.056678 s, speed: 137.079550 GFlops
size: 1576, time: 0.063666 s, speed: 122.967502 GFlops
size: 1580, time: 0.059830 s, speed: 131.850228 GFlops
size: 1584, time: 0.054049 s, speed: 147.064464 GFlops
size: 1588, time: 0.055966 s, speed: 143.105440 GFlops
size: 1592, time: 0.055970 s, speed: 144.179740 GFlops
size: 1596, time: 0.057003 s, speed: 142.636536 GFlops
size: 1600, time: 0.054914 s, speed: 149.178722 GFlops
size: 1604, time: 0.058166 s, speed: 141.897154 GFlops
size: 1608, time: 0.057649 s, speed: 144.243194 GFlops
size: 1612, time: 0.058715 s, speed: 142.684576 GFlops
size: 1616, time: 0.056348 s, speed: 149.787268 GFlops
size: 1620, time: 0.058071 s, speed: 146.425426 GFlops
size: 1624, time: 0.056790 s, speed: 150.840220 GFlops
size: 1628, time: 0.058531 s, speed: 147.437145 GFlops
size: 1632, time: 0.056817 s, speed: 153.007798 GFlops
size: 1636, time: 0.062900 s, speed: 139.228707 GFlops
size: 1640, time: 0.059081 s, speed: 149.318935 GFlops
size: 1644, time: 0.060704 s, speed: 146.392281 GFlops
size: 1648, time: 0.059499 s, speed: 150.450455 GFlops
size: 1652, time: 0.062393 s, speed: 144.518886 GFlops
size: 1656, time: 0.060410 s, speed: 150.349502 GFlops
size: 1660, time: 0.062385 s, speed: 146.647110 GFlops
size: 1664, time: 0.060251 s, speed: 152.941632 GFlops
size: 1668, time: 0.062084 s, speed: 149.499151 GFlops
size: 1672, time: 0.064864 s, speed: 144.123243 GFlops
size: 1676, time: 0.063264 s, speed: 148.831934 GFlops
size: 1680, time: 0.068537 s, speed: 138.367078 GFlops
size: 1684, time: 0.065955 s, speed: 144.812972 GFlops
size: 1688, time: 0.063205 s, speed: 152.193415 GFlops
size: 1692, time: 0.066460 s, speed: 145.771098 GFlops
size: 1696, time: 0.061926 s, speed: 157.556127 GFlops
size: 1700, time: 0.069043 s, speed: 142.317269 GFlops
size: 1704, time: 0.064488 s, speed: 153.447104 GFlops
size: 1708, time: 0.067306 s, speed: 148.060613 GFlops
size: 1712, time: 0.064306 s, speed: 156.059295 GFlops
size: 1716, time: 0.065670 s, speed: 153.891538 GFlops
size: 1720, time: 0.066055 s, speed: 154.066866 GFlops
size: 1724, time: 0.068925 s, speed: 148.684471 GFlops
size: 1728, time: 0.067653 s, speed: 152.536765 GFlops
size: 1732, time: 0.069992 s, speed: 148.465768 GFlops
size: 1736, time: 0.072535 s, speed: 144.255146 GFlops
size: 1740, time: 0.074022 s, speed: 142.336606 GFlops
size: 1744, time: 0.071297 s, speed: 148.798518 GFlops
size: 1748, time: 0.073421 s, speed: 145.490279 GFlops
size: 1752, time: 0.068421 s, speed: 157.196764 GFlops
size: 1756, time: 0.070715 s, speed: 153.141285 GFlops
size: 1760, time: 0.068564 s, speed: 159.027505 GFlops
size: 1764, time: 0.071711 s, speed: 153.087954 GFlops
size: 1768, time: 0.072048 s, speed: 153.410017 GFlops
size: 1772, time: 0.072601 s, speed: 153.277883 GFlops
size: 1776, time: 0.070587 s, speed: 158.721094 GFlops
size: 1780, time: 0.072917 s, speed: 154.689666 GFlops
size: 1784, time: 0.075078 s, speed: 151.252231 GFlops
size: 1788, time: 0.075086 s, speed: 152.255467 GFlops
size: 1792, time: 0.075632 s, speed: 152.173097 GFlops
size: 1796, time: 0.078970 s, speed: 146.718808 GFlops
size: 1800, time: 0.075567 s, speed: 154.353076 GFlops
size: 1804, time: 0.077635 s, speed: 151.245255 GFlops
size: 1808, time: 0.075157 s, speed: 157.273257 GFlops
size: 1812, time: 0.075222 s, speed: 158.182928 GFlops
size: 1816, time: 0.075228 s, speed: 159.220195 GFlops
size: 1820, time: 0.077315 s, speed: 155.948026 GFlops
size: 1824, time: 0.072389 s, speed: 167.660658 GFlops
size: 1828, time: 0.075860 s, speed: 161.044389 GFlops
size: 1832, time: 0.082052 s, speed: 149.870885 GFlops
size: 1836, time: 0.084470 s, speed: 146.536346 GFlops
size: 1840, time: 0.077488 s, speed: 160.786402 GFlops
size: 1844, time: 0.084745 s, speed: 147.978219 GFlops
size: 1848, time: 0.079602 s, speed: 158.566668 GFlops
size: 1852, time: 0.082094 s, speed: 154.753510 GFlops
size: 1856, time: 0.077287 s, speed: 165.446542 GFlops
size: 1860, time: 0.083184 s, speed: 154.713784 GFlops
size: 1864, time: 0.080636 s, speed: 160.634421 GFlops
size: 1868, time: 0.083595 s, speed: 155.948110 GFlops
size: 1872, time: 0.083345 s, speed: 157.423045 GFlops
size: 1876, time: 0.082193 s, speed: 160.654519 GFlops
size: 1880, time: 0.089401 s, speed: 148.648706 GFlops
size: 1884, time: 0.087642 s, speed: 152.602145 GFlops
size: 1888, time: 0.079220 s, speed: 169.902910 GFlops
size: 1892, time: 0.083991 s, speed: 161.272522 GFlops
size: 1896, time: 0.082985 s, speed: 164.265285 GFlops
size: 1900, time: 0.085715 s, speed: 160.041896 GFlops
size: 1904, time: 0.083885 s, speed: 164.568517 GFlops
size: 1908, time: 0.083348 s, speed: 166.674721 GFlops
size: 1912, time: 0.094689 s, speed: 147.636800 GFlops
size: 1916, time: 0.083631 s, speed: 168.209398 GFlops
size: 1920, time: 0.086027 s, speed: 164.550107 GFlops
size: 1924, time: 0.087779 s, speed: 162.276020 GFlops
size: 1928, time: 0.087981 s, speed: 162.915446 GFlops
size: 1932, time: 0.083511 s, speed: 172.706357 GFlops
size: 1936, time: 0.081938 s, speed: 177.117121 GFlops
size: 1940, time: 0.091028 s, speed: 160.420662 GFlops
size: 1944, time: 0.087920 s, speed: 167.120669 GFlops
size: 1948, time: 0.088839 s, speed: 166.415622 GFlops
size: 1952, time: 0.089541 s, speed: 166.129859 GFlops
size: 1956, time: 0.092043 s, speed: 162.609586 GFlops
size: 1960, time: 0.090728 s, speed: 165.980344 GFlops
size: 1964, time: 0.091397 s, speed: 165.776239 GFlops
size: 1968, time: 0.090711 s, speed: 168.052417 GFlops
size: 1972, time: 0.094295 s, speed: 162.652951 GFlops
size: 1976, time: 0.091706 s, speed: 168.264650 GFlops
size: 1980, time: 0.094278 s, speed: 164.670103 GFlops
size: 1984, time: 0.093703 s, speed: 166.686857 GFlops
size: 1988, time: 0.095178 s, speed: 165.098477 GFlops
size: 1992, time: 0.092373 s, speed: 171.140314 GFlops
size: 1996, time: 0.095704 s, speed: 166.180920 GFlops
size: 2000, time: 0.092746 s, speed: 172.514586 GFlops
size: 2004, time: 0.095952 s, speed: 167.752485 GFlops
size: 2008, time: 0.095605 s, speed: 169.371754 GFlops
size: 2012, time: 0.097650 s, speed: 166.817439 GFlops
