スクリプトは 2014年07月27日 15時44分26秒
 に開始しました]0;kiyotaka@ruby: ~/Projects/HyBLAS/src/tmpkiyotaka@ruby:~/Projects/HyBLAS/src/tmp$ for i in 0 1 2 3 4 5 6 7; do ./dgemm; suudo service lightdm restart; done
^C
]0;kiyotaka@ruby: ~/Projects/HyBLAS/src/tmpkiyotaka@ruby:~/Projects/HyBLAS/src/tmp$ sudo service lightdm restart
640 0.05 10.98 0.32 1.62 0.000000
768 0.09 10.53 0.34 2.63 0.000000
896 0.13 10.83 0.21 6.72 0.000000
1024 0.17 12.64 0.19 11.30 0.000000
1152 0.24 12.89 0.23 13.05 0.000000
1280 0.32 13.12 0.20 21.04 0.000000
1408 0.43 12.92 0.19 29.94 0.000000
1536 0.38 19.11 0.18 40.16 0.000000
1664 0.69 13.31 0.36 25.34 0.000000
1792 0.87 13.27 0.39 29.68 0.000000
1920 1.07 13.26 0.38 36.79 0.000000
2048 1.30 13.22 0.44 39.21 0.000000
2176 1.51 13.60 0.25 83.90 0.000000
2304 1.80 13.57 0.36 67.79 0.000000
2432 1.66 17.32 0.41 70.24 0.000000
2560 2.49 13.50 0.47 72.06 0.000000
2688 2.88 13.51 0.37 105.62 0.000000
2816 3.12 14.31 0.49 91.03 0.000000
2944 3.80 13.44 0.55 93.31 0.000000
3072 4.28 13.54 0.43 135.50 0.000000
3200 4.86 13.50 0.60 110.06 0.000000
3328 5.44 13.56 0.47 158.03 0.000000
3456 6.07 13.59 0.56 147.69 0.000000
3584 6.78 13.59 0.80 115.01 0.000000
3712 7.63 13.40 0.81 126.56 0.000000
3840 8.32 13.61 0.63 179.17 0.000000
3968 9.17 13.62 0.92 135.25 0.000000
4096 10.60 12.96 1.26 109.51 0.000000
lightdm stop/waiting
lightdm start/running, process 6327
128 0.03 0.16 0.36 0.01 0.000000
256 0.01 3.37 0.33 0.10 0.000000
384 0.02 5.48 0.33 0.35 0.000000
512 0.01 30.42 0.29 0.92 0.000000
640 0.03 17.39 0.34 1.55 0.000000
768 0.08 11.40 0.35 2.58 0.000000
896 0.14 10.39 0.23 6.12 0.000000
1024 0.17 12.44 0.26 8.17 0.000000
1152 0.25 12.14 0.15 20.51 0.000000
1280 0.32 13.06 0.34 12.28 0.000000
1408 0.42 13.37 0.30 18.79 0.000000
1536 0.55 13.23 0.36 20.20 0.000000
1664 0.71 13.03 0.37 25.07 0.000000
1792 0.86 13.31 0.39 29.35 0.000000
1920 1.07 13.28 0.39 36.75 0.000000
2048 1.28 13.41 0.44 39.08 0.000000
2176 1.31 15.68 0.26 79.56 0.000000
2304 1.82 13.46 0.44 56.14 0.000000
2432 2.14 13.43 0.46 62.62 0.000000
2560 2.49 13.47 0.47 70.86 0.000000
2688 2.87 13.55 0.38 102.63 0.000000
2816 3.29 13.58 0.54 81.95 0.000000
2944 3.78 13.51 0.55 93.21 0.000000
3072 4.26 13.61 0.63 92.76 0.000000
3200 4.84 13.55 0.49 134.27 0.000000
3328 5.49 13.42 0.48 154.13 0.000000
3456 6.06 13.61 0.51 161.36 0.000000
3584 6.78 13.57 0.77 120.10 0.000000
3712 7.49 13.65 0.63 161.26 0.000000
3840 8.31 13.63 0.73 155.22 0.000000
3968 9.17 13.62 0.80 155.50 0.000000
4096 10.37 13.26 1.22 112.28 0.000000
lightdm stop/waiting
lightdm start/running, process 6737
128 0.02 0.18 0.34 0.01 0.000000
256 0.01 2.60 0.33 0.10 0.000000
384 0.03 3.85 0.35 0.32 0.000000
512 0.04 7.46 0.14 1.88 0.000000
640 0.06 8.54 0.13 3.93 0.000000
768 0.09 9.66 0.33 2.78 0.000000
896 0.11 12.69 0.35 4.15 0.000000
1024 0.17 12.29 0.26 8.16 0.000000
1152 0.26 11.83 0.37 8.31 0.000000
1280 0.32 13.11 0.34 12.28 0.000000
1408 0.43 12.98 0.35 16.04 0.000000
1536 0.55 13.24 0.26 27.98 0.000000
1664 0.69 13.32 0.25 37.16 0.000000
1792 0.86 13.37 0.40 28.63 0.000000
1920 1.06 13.40 0.22 65.52 0.000000
2048 1.28 13.38 0.44 39.45 0.000000
2176 1.53 13.45 0.24 86.14 0.000000
2304 1.55 15.74 0.23 108.48 0.000000
2432 2.15 13.41 0.44 65.21 0.000000
2560 2.48 13.51 0.42 79.60 0.000000
2688 2.87 13.55 0.50 77.26 0.000000
2816 3.30 13.51 0.52 85.34 0.000000
2944 3.86 13.23 0.47 108.31 0.000000
3072 4.29 13.52 0.62 92.81 0.000000
3200 4.84 13.54 0.51 127.68 0.000000
3328 5.44 13.55 0.49 150.95 0.000000
3456 6.06 13.61 0.65 127.07 0.000000
3584 6.78 13.59 0.71 130.29 0.000000
3712 7.51 13.62 0.66 154.02 0.000000
3840 8.33 13.60 0.88 128.00 0.000000
3968 9.24 13.53 0.81 153.98 0.000000
4096 10.42 13.19 1.38 99.45 0.000000
lightdm stop/waiting
lightdm start/running, process 7148
128 0.00 1.83 0.11 0.04 0.000000
256 0.01 3.99 0.36 0.09 0.000000
384 0.02 5.54 0.33 0.35 0.000000
512 0.02 12.21 0.27 0.98 0.000000
640 0.06 9.04 0.13 4.17 0.000000
768 0.08 11.07 0.33 2.78 0.000000
896 0.11 13.51 0.27 5.40 0.000000
1024 0.17 12.74 0.32 6.76 0.000000
1152 0.23 13.43 0.36 8.47 0.000000
1280 0.32 13.09 0.33 12.85 0.000000
1408 0.44 12.83 0.34 16.25 0.000000
1536 0.55 13.22 0.35 20.45 0.000000
1664 0.69 13.40 0.17 54.84 0.000000
1792 0.86 13.37 0.40 28.64 0.000000
1920 1.05 13.43 0.28 49.91 0.000000
2048 1.29 13.30 0.34 51.12 0.000000
2176 1.53 13.51 0.38 54.92 0.000000
2304 1.80 13.60 0.43 56.77 0.000000
2432 2.12 13.56 0.46 62.43 0.000000
2560 2.00 16.75 0.36 93.34 0.000000
2688 2.78 14.00 0.51 76.84 0.000000
2816 3.26 13.68 0.33 134.42 0.000000
2944 3.89 13.13 0.55 92.49 0.000000
3072 4.28 13.56 0.46 124.80 0.000000
3200 4.80 13.64 0.41 161.23 0.000000
3328 5.39 13.67 0.66 111.72 0.000000
3456 6.02 13.72 0.59 140.54 0.000000
3584 6.74 13.65 0.80 114.53 0.000000
3712 7.47 13.69 0.82 125.42 0.000000
3840 7.75 14.62 0.73 154.55 0.000000
3968 9.25 13.51 0.91 137.10 0.000000
4096 10.08 13.64 1.38 99.87 0.000000
lightdm stop/waiting
lightdm start/running, process 7564
128 0.00 1.86 0.30 0.01 0.000000
256 0.00 15.41 0.24 0.14 0.000000
384 0.01 7.57 0.31 0.36 0.000000
512 0.05 5.70 0.27 1.00 0.000000
640 0.05 11.39 0.33 1.59 0.000000
768 0.09 9.83 0.18 4.90 0.000000
896 0.13 10.89 0.30 4.77 0.000000
1024 0.19 11.29 0.28 7.61 0.000000
1152 0.24 12.58 0.18 17.10 0.000000
1280 0.33 12.81 0.30 14.12 0.000000
1408 0.43 12.84 0.23 24.02 0.000000
1536 0.55 13.08 0.36 20.24 0.000000
1664 0.70 13.20 0.32 29.16 0.000000
1792 0.87 13.17 0.26 43.46 0.000000
1920 1.06 13.39 0.39 36.60 0.000000
2048 1.31 13.15 0.31 55.83 0.000000
2176 1.55 13.31 0.40 51.14 0.000000
2304 1.91 12.79 0.44 55.45 0.000000
2432 2.15 13.37 0.46 61.92 0.000000
2560 2.52 13.30 0.45 75.36 0.000000
2688 2.89 13.45 0.51 76.75 0.000000
2816 3.32 13.46 0.34 130.82 0.000000
2944 3.81 13.41 0.38 134.91 0.000000
3072 4.29 13.53 0.63 91.54 0.000000
3200 4.85 13.51 0.60 108.36 0.000000
3328 5.45 13.53 0.46 160.04 0.000000
3456 6.11 13.51 0.71 115.67 0.000000
3584 6.85 13.43 0.82 112.34 0.000000
3712 7.52 13.60 0.83 122.99 0.000000
3840 8.42 13.45 0.83 136.56 0.000000
3968 8.91 14.02 0.71 177.13 0.000000
4096 10.52 13.07 1.43 96.05 0.000000
lightdm stop/waiting
lightdm start/running, process 7974
]0;kiyotaka@ruby: ~/Projects/HyBLAS/src/tmpkiyotaka@ruby:~/Projects/HyBLAS/src/tmp$ exit

スクリプトは 2014年07月27日 16時07分21秒
 に終了しました
